附件1-8											
大港油区能耗定额（网电）											
单位：元/米											
区块	50型			50型电动			70型机械			70型	
	444.5	311.1	215.9	444.5	311.1	215.9	444.5	311.1	215.9	444.5	311.1
板桥	38.07	49.6	65.29	/	/	/	36.11	42.04	43.52	57.86	48.79
孔店	/	/	/	/	/	/	/	/	/	/	48.24
扣村	/	43.9	64.27	/	/	/	/	/	/	/	52.22
羊二庄	41.53	37.43	57.54	/	/	/	/	/	/	/	/
枣园	/	40.88	69.27	/	/	/	/	/	/	/	62.63
埕海	/	/	/	/	/	/	/	/	/	26.24	71.48
枣园/风化店		47.05	68.67	/	/	/	/	/	/		62.63
歧口	/	26.06	63.87	/	/	/	/	/	/	/	/
泰安	/	/	/	/	/	/	/	/	/	115（762井眼）	318（571井眼）
王官屯	/	43.35	53.31	/	/	/	/	26	48.72	/	26
乌马营	/	/	/	/	/	/	46.1	39.64	143.32	46.1	39.64
青县	55.91	141.26	133.7	/	/	/	/	/	/	/	/
华页/新华	/	/	/	/	/	/	/	/	/	34.33	61.4
唐东/南港	/	/	/	/	/	/	41.5	63.1	200.45	41.5	63.1
张海	/	/	/	/	/	/	/	/	/	53.6	81
官页	/	/	/	/	/	/	/	/	/	51.44	114.9
注：1.柴油定额与网电定额转换系数为1.869。
    2.等停期间能耗补偿标准0.2吨/天。											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
