附件1-11								
								
大港油区生产水定额								
				单位：元/米				
序号	井型	区块	开次	米定额	备注			
1	定向井	板桥（＜2500米）	2					
2	定向井	板桥（＜3500米）	2	4.06				
3	定向井	板桥（≥3500米）	2	4.6				
4	定向井	港东	2	3.97				
5	定向井	港西	2	4.4				
6	定向井	港中	2	3.58				
7	定向井	孔店	2					
8	定向井	扣村	2					
9	定向井	唐家河	2	4.03				
10	定向井	王官屯	2					
11	定向井	王徐庄	2					
12	定向井	新华	2					
13	定向井	羊二庄	2					
14	定向井	羊三木	2					
15	定向井	枣园	2					
16	水平井	板桥	2	4.05				
17	水平井	埕海	2					
18	水平井	大港页岩油	2					
19	水平井	枣园	2					
20	定向井	板桥	3	4.27				
21	定向井	埕海（＜4000米）	3					
22	定向井	埕海（≥4000米）	3					
23	定向井	大港页岩油	3					
24	定向井	港东	3					
25	定向井	歧口	3					
26	定向井	唐东（开发井）	3	3.76				
27	定向井	唐东（探评井）	3	5.93				
28	定向井	新华	3					
29	水平井	板桥	3					
30	水平井	埕海	3					
31	水平井	大港页岩油	3					
32	水平井	唐东	3	6.27				
33	定向井	板桥	4	5.81				
