附件1-12								
								
大港油区生活污水定额								
				单位：元/米				
序号	井型	区块	开次	米定额	备注			
1	定向井	板桥（＜2500米）	2	2.11				
2	定向井	板桥（＜3500米）	2	2.05				
3	定向井	板桥（≥3500米）	2	2.79				
4	定向井	港东	2	1.75				
5	定向井	港西	2	2.56				
6	定向井	港中	2	2.24				
7	定向井	孔店	2	2.98				
8	定向井	扣村	2	1.61				
9	定向井	唐家河	2	2.05				
10	定向井	王官屯	2	2.97				
11	定向井	王徐庄	2	2.16				
12	定向井	新华	2	2.44				
13	定向井	羊二庄	2	1.67				
14	定向井	羊三木	2	2.52				
15	定向井	枣园	2	2.23				
16	水平井	板桥	2	2.09				
17	水平井	埕海	2	2.7				
18	水平井	大港页岩油	2	1.8				
19	水平井	枣园	2	3.46				
20	定向井	板桥	3	2.63				
21	定向井	埕海（＜4000米）	3	1.88				
22	定向井	埕海（≥4000米）	3	2.22				
23	定向井	大港页岩油	3	3.48				
24	定向井	港东	3	4.47				
25	定向井	歧口	3	4.07				
26	定向井	唐东（开发井）	3	2.09				
27	定向井	唐东（探评井）	3	2.53				
28	定向井	新华	3	2.75				
29	水平井	板桥	3					
30	水平井	埕海	3	2.51				
31	水平井	大港页岩油	3	2.98				
32	水平井	唐东	3	2.67				
33	定向井	板桥	4	3.52				
