附件1-15											
											
大港油区区块平均日进尺											
				单位：米/天							
序号	井型	区块	开次	平均日进尺	备注						
1	定向井	板桥（＜2500米）	2	158.28							
2	定向井	板桥（＜3500米）	2	162.770428015447							
3	定向井	板桥（≥3500米）	2	119.660583941584							
4	定向井	港东	2	190.756476683616							
5	定向井	港西	2	130.462365591398							
6	定向井	港中	2	148.567567567568							
7	定向井	孔店	2	111.772819472617							
8	定向井	扣村	2	207.666666666667							
9	定向井	唐家河	2	162.661224490337							
10	定向井	王官屯	2	112.336134453782							
11	定向井	王徐庄	2	154.25							
12	定向井	新华	2	136.773898110984							
13	定向井	羊二庄	2	200.090909090909							
14	定向井	羊三木	2	132.142857142857							
15	定向井	枣园	2	149.197183098592							
16	水平井	板桥	2	159.426552246209							
17	水平井	埕海	2	123.44325481788							
18	水平井	大港页岩油	2	184.771234153995							
19	水平井	枣园	2	96.2406015037594							
20	定向井	板桥	3	126.891156462585							
21	定向井	埕海（＜4000米）	3	176.861717612809							
22	定向井	埕海（≥4000米）	3	150.021132484488							
23	定向井	大港页岩油	3	95.6923076923077							
24	定向井	港东	3	74.5202652910386							
25	定向井	歧口	3	81.8571428571429							
26	定向井	唐东（开发井）	3	159.830245068742							
27	定向井	唐东（探评井）	3	131.690108819265							
28	定向井	新华	3	121.289499243345							
29	水平井	板桥	3	-2146826281							
30	水平井	埕海	3	132.548387096774							
31	水平井	大港页岩油	3	111.915167095116							
32	水平井	唐东	3	125.069578248769							
33	定向井	板桥	4	94.743215600667							
