附件1-16											
											
大港油区区块毛益率指标											
序号	井型	区块	开次	平均指标	考核指标（110%）	考核指标（120%）	备注				
1	定向井	板桥（＜2500米）	2						0		
2	定向井	板桥（＜3500米）	2	0.0257378911083874	0.0283116802192262	0.0308854693300649					
3	定向井	板桥（≥3500米）	2	0.0827702071064603	0.0910472278171063	0.0993242485277523					
4	定向井	港东	2								
5	定向井	港西	2	0.105414746697154	0.11595622136687	0.126497696036585					
6	定向井	港中	2								
7	定向井	孔店	2								
8	定向井	扣村	2								
9	定向井	唐家河	2								
10	定向井	王官屯	2	0.160394834482978	0.176434317931276	0.192473801379574					
11	定向井	王徐庄	2								
12	定向井	新华	2								
13	定向井	羊二庄	2								
14	定向井	羊三木	2								
15	定向井	枣园	2	0.092679642013188	0.101947606214507	0.111215570415826					
16	水平井	板桥	2	0.16721511678491	0.183936628463402	0.200658140141893					
17	水平井	埕海	2								
18	水平井	大港页岩油	2	-0.0631159143979009	-0.0568043229581108	-0.0504927315183207					
19	水平井	枣园	2								
20	定向井	板桥	3	0.0999003663738499	0.109890403011235	0.11988043964862					
21	定向井	埕海（＜4000米）	3	0.333039553878949	0.366343509266844	0.399647464654738					
22	定向井	埕海（≥4000米）	3	0.422565643826395	0.464822208209034	0.507078772591673					
23	定向井	大港页岩油	3								
24	定向井	港东	3								
25	定向井	歧口	3								
26	定向井	唐东（开发井）	3	0.237198479586994	0.213478631628294	0.189758783669595					
27	定向井	唐东（探评井）	3	0.0626695172951251	0.0689364690246377	0.0752034207541502					
28	定向井	新华	3	0.190146248631541	0.209160873494695	0.228175498357849					
29	水平井	板桥	3								
30	水平井	埕海	3								
31	水平井	大港页岩油	3	0.00749014089504334	0.00823915498454768	0.00898816907405201					
32	水平井	唐东	3								
33	定向井	板桥	4	0.300481855340539	0.330530040874593	0.360578226408647					
