附件1-6											
											
大港油区米费定额											
				单位：元/米•人							
序号	井型	区块	开次	米定额	备注						
1	定向井	板桥（＜2500米）	2	0.36							
2	定向井	板桥（＜3500米）	2	0.35							
3	定向井	板桥（≥3500米）	2	0.48							
4	定向井	港东	2	0.3							
5	定向井	港西	2	0.44							
6	定向井	港中	2	0.39							
7	定向井	孔店	2	0.51							
8	定向井	扣村	2	0.28							
9	定向井	唐家河	2	0.35							
10	定向井	王官屯	2	0.51							
11	定向井	王徐庄	2	0.37							
12	定向井	新华	2	0.42							
13	定向井	羊二庄	2	0.29							
14	定向井	羊三木	2	0.43							
15	定向井	枣园	2	0.38							
16	水平井	板桥	2	0.36							
17	水平井	埕海	2	0.46							
18	水平井	大港页岩油	2	0.31							
19	水平井	枣园	2	0.59							
20	定向井	板桥	3	0.45							
21	定向井	埕海（＜4000米）	3	0.32							
22	定向井	埕海（≥4000米）	3	0.38							
23	定向井	大港页岩油	3	0.6							
24	定向井	港东	3	0.77							
25	定向井	歧口	3	0.7							
26	定向井	唐东（开发井）	3	0.36							
27	定向井	唐东（探评井）	3	0.43							
28	定向井	新华	3	0.47							
29	水平井	板桥	3								
30	水平井	埕海	3	0.43							
31	水平井	大港页岩油	3	0.51							
32	水平井	唐东	3	0.46							
33	定向井	板桥	4	0.6							
