附件1-7											
											
大港油区一般材料定额											
				单位：元/米							
序号	井型	区块	开次	50型	70型	备注					
1	定向井	板桥（＜2500米）	2	13.43	15.22						
2	定向井	板桥（＜3500米）	2	13.06	14.8						
3	定向井	板桥（≥3500米）	2	17.76	20.13						
4	定向井	港东	2	11.14	12.63						
5	定向井	港西	2	16.29	18.46						
6	定向井	港中	2	14.3	16.21						
7	定向井	孔店	2	19.01	21.55						
8	定向井	扣村	2	10.23	11.6						
9	定向井	唐家河	2	13.06	14.81						
10	定向井	王官屯	2	18.92	21.44						
11	定向井	王徐庄	2	13.78	15.61						
12	定向井	新华	2	15.54	17.61						
13	定向井	羊二庄	2	10.62	12.04						
14	定向井	羊三木	2	16.08	18.23						
15	定向井	枣园	2	14.24	16.14						
16	水平井	板桥	2	13.33	15.11						
17	水平井	埕海	2	17.21	19.51						
18	水平井	大港页岩油	2	11.5	13.03						
19	水平井	枣园	2	22.08	25.02						
20	定向井	板桥	3	15.76	17.86						
21	定向井	埕海（＜4000米）	3	11.31	12.82						
22	定向井	埕海（≥4000米）	3	13.33	15.11						
23	定向井	大港页岩油	3	20.9	23.69						
24	定向井	港东	3	26.84	30.42						
25	定向井	歧口	3	24.43	27.69						
26	定向井	唐东（开发井）	3	12.51	14.18						
27	定向井	唐东（探评井）	3	15.19	17.21						
28	定向井	新华	3	16.49	18.69						
29	水平井	板桥	3								
30	水平井	埕海	3	15.09	17.1						
31	水平井	大港页岩油	3	17.87	20.25						
32	水平井	唐东	3	15.99	18.12						
33	定向井	板桥	4	21.11	23.92						
