附件1-8										
										
大港油区能耗定额										
单位：元/米										
序号	井型	区块	开次	米定额（网电）	备注					
1	定向井	板桥（＜2500米）	2	73.48						
2	定向井	板桥（＜3500米）	2	70.23						
3	定向井	板桥（≥3500米）	2	86.94						
4	定向井	港东	2	46.2						
5	定向井	港西	2	65.01						
6	定向井	港中	2	63.77						
7	定向井	孔店	2	34.48						
8	定向井	扣村	2	50.17						
9	定向井	唐家河	2	53.77						
10	定向井	王官屯	2	74.17						
11	定向井	王徐庄	2	79.33						
12	定向井	新华	2	108.49						
13	定向井	羊二庄	2	49.91						
14	定向井	羊三木	2	82.65						
15	定向井	枣园	2	83.74						
16	水平井	板桥	2	64.66						
17	水平井	埕海	2	125.79						
18	水平井	大港页岩油	2	100.29						
19	水平井	枣园	2	88.24						
20	定向井	板桥	3	90.52						
21	定向井	埕海（＜4000米）	3	103.71						
22	定向井	埕海（≥4000米）	3	114.65						
23	定向井	大港页岩油	3	145.98						
24	定向井	港东	3	43.63						
25	定向井	歧口	3	142.9						
26	定向井	唐东（开发井）	3	110.08						
27	定向井	唐东（探评井）	3	138.54						
28	定向井	新华	3	133.6						
29	水平井	板桥	3							
30	水平井	埕海	3	125.79						
31	水平井	大港页岩油	3	166.11						
32	水平井	唐东	3	152.16						
33	定向井	板桥	4	137.05						
注：1.柴油按2.67吨/万度折合电量核算。 2.停产期间能耗补偿800元/天。										
