附件1-9											
											
大港油区润滑油定额											
				单位：元/米							
序号	井型	区块	开次	米定额	备注						
1	定向井	板桥（＜2500米）	2	4.42							
2	定向井	板桥（＜3500米）	2	4.3							
3	定向井	板桥（≥3500米）	2	5.85							
4	定向井	港东	2	3.67							
5	定向井	港西	2	5.37							
6	定向井	港中	2	4.71							
7	定向井	孔店	2	6.26							
8	定向井	扣村	2	3.37							
9	定向井	唐家河	2	4.3							
10	定向井	王官屯	2	6.23							
11	定向井	王徐庄	2	4.54							
12	定向井	新华	2	5.12							
13	定向井	羊二庄	2	3.5							
14	定向井	羊三木	2	5.3							
15	定向井	枣园	2	4.69							
16	水平井	板桥	2	4.39							
17	水平井	埕海	2	5.67							
18	水平井	大港页岩油	2	3.79							
19	水平井	枣园	2	7.27							
20	定向井	板桥	3	5.52							
21	定向井	埕海（＜4000米）	3	3.96							
22	定向井	埕海（≥4000米）	3	4.67							
23	定向井	大港页岩油	3	7.32							
24	定向井	港东	3	9.39							
25	定向井	歧口	3	8.55							
26	定向井	唐东（开发井）	3	4.38							
27	定向井	唐东（探评井）	3	5.32							
28	定向井	新华	3	5.77							
29	水平井	板桥	3								
30	水平井	埕海	3	5.28							
31	水平井	大港页岩油	3	6.25							
32	水平井	唐东	3	5.6							
33	定向井	板桥	4	7.39							
