附件1-8											
大港油区柴油定额											
						单位：元/米					
序号	井型	区块	开次	平均井深	平均柴油费用	米进尺费用	备注		井型	区块	开次
1	定向井	板桥	2	3238.6875	811397.065422315	250.532681965245			定向井	板桥	2
2	定向井	港东	2	1917.5	251792.158145185	131.312729150031			定向井	港东	2
3	定向井	港西	2	1516.625	268978.125	177.353086623259			定向井	港西	2
4	定向井	港中	2	2748.5	433459	157.70747680553			定向井	港中	2
5	定向井	孔店	2	1785	312767	175.219607843137			定向井	孔店	2
6	定向井	扣村	2	3026	999531	330.314276272307			定向井	扣村	2
7	定向井	泰安	2	1346	312602.51	232.245549777117			定向井	泰安	2
8	定向井	唐家河	2	3321	358453.089925926	107.935287541682			定向井	唐家河	2
9	定向井	王官屯	2	2859	559907.9	195.840468695348			定向井	王官屯	2
10	定向井	王徐庄	2	2468	411422.213084444	166.702679531784			定向井	王徐庄	2
11	定向井	羊二庄	2	2201	311229.61024	141.403730231713			定向井	羊二庄	2
12	定向井	羊三木	2	2775	514657	185.461981981982			定向井	羊三木	2
13	定向井	枣园	2	2658.8	765488.101274963	287.907364703988			定向井	枣园	2
14	水平井	板桥	2	2642.33333333333	429491.83190642	162.5426385416			水平井	板桥	2
15	水平井	枣园	2	3896	2108266.45555556	541.136153890031			水平井	枣园	2
16	直井	泰安	2	1008.5	1045813.55	1036.99905800694			直井	泰安	2
17	定向井	板桥	3	3779.5	998593.545012591	264.213135338693			定向井	板桥	3
18	定向井	泰安	3	1107	267997.212	242.093235772358			定向井	泰安	3
19	定向井	唐东	3	4210	1110104.56266667	263.682793982582			定向井	唐东	3
20	定向井	新华	3	5245	1200328.56170371	228.851966006427			定向井	新华	3
21	水平井	板桥	3	2382	401511.655703704	168.560728674939			水平井	板桥	3
22	水平井	大港页岩油	3	6182	2698592.04842519	436.524110065544			水平井	大港页岩油	3
23	直井	泰安	3	1033	1168872.77	1131.5322071636			直井	泰安	3
24	定向井	板桥	4	4942	1663166.23069185	336.537076222552			定向井	板桥	4
25											
26											
27											
28											
29											
30											
31											
32											
33											
34											
35											
36											
37											
