附件1-8											
大港油区网电定额											
						单位：元/米					50J
序号	井型	区块	开次	平均井深	平均网电费用	米进尺费用	备注		区块	求和项:实际井深（米）	求和项:网电
1	定向井	扣村	2	2492	84202.19	33.7890008025682	不含架线费		扣村	2492	121011.235955056
2	定向井	沈家铺	2	3113	249235.35	80.0627529714102			沈家铺	3113	237827.715355805
3	定向井	王官屯	2	3503	308800.784388734	88.1532356233897			王官屯	10509	1333442.30711611
	定向井	板桥	2								
4	定向井	新华	2	4978	491041.353245113	98.6422967547435					
5	水平井	埕海	2	4804	612350	127.466694421316					
6	水平井	大港页岩油	2	6191.33333333333	815089.149022537	131.650018685669					
7	水平井	枣园	2	4104	326617.6	79.5851851851852					
8	定向井	板桥	3	3535	208862.62	59.0841923620934			板桥	3535	240524.344569288
9	定向井	埕海	3	5061.5	670961.352559265	132.561760853357					
10	定向井	大港页岩油	3	3732	314369.593505228	84.236225483716			大港页岩油	3732	643970.037453184
11	定向井	港东	3	3197	348002.088390596	108.852702030215			港东	3197	408539.325842697
12	定向井	歧口	3	5157	507939.905260116	98.4952308047539					
13	定向井	泰安	3	1036	332087.102032864	320.547395784618			泰安	1036	380038.951310861
14	定向井	唐东	3	4792.5	662071.985461454	138.147519136454					
15	定向井	新华	3	5159	544013.81893226	105.449470620713			新华	4088	488277.153558052
16	水平井	埕海	3	4109	494931	120.450474568021					
17	水平井	大港页岩油	3	6464	1028598.67762007	159.127270671422					
18	水平井	港东	3	5860	1109298.90350523	189.30015418178					
19	水平井	唐东	3	5842	984981.637072157	168.603498300609					
20	水平井	王官屯	3	4741	1540824.91383646	324.999981825872					
21	水平井	乌马营	3	4668	903409.357147496	193.532424410346					
22	水平井	新华	3	5873	839494.2	142.941290652137					
23	直井	泰安	3	1008.33	289916	287.520950482481			泰安	1029.66	457400
24	定向井	板桥	4	5345	692902.097596935	129.635565499894					
25	定向井	青县	4	3774	713537.65501234	189.066681243333			青县	7548	1861950.55430712
26											
27											
28											
29											
30											
31											
32											
33											
34											
35											
36											
37											
											
											
